Freq,Real,Imag
5.00E+06,6.02E+01,2.25E+02
3.97E+06,3.10E+01,1.46E+02
3.16E+06,2.32E+01,1.00E+02
2.51E+06,1.97E+01,7.14E+01
1.99E+06,1.76E+01,5.02E+01
1.58E+06,1.60E+01,3.29E+01
1.26E+06,1.49E+01,1.81E+01
1.00E+06,1.43E+01,3.74E+00
7.95E+05,1.39E+01,-1.03E+01
6.32E+05,1.35E+01,-2.47E+01
5.02E+05,1.35E+01,-4.06E+01
3.99E+05,1.35E+01,-5.85E+01
3.17E+05,1.34E+01,-8.06E+01
2.52E+05,1.38E+01,-1.06E+02
2.00E+05,1.45E+01,-1.37E+02
1.59E+05,1.57E+01,-1.75E+02
1.26E+05,1.75E+01,-2.23E+02
1.00E+05,2.14E+01,-2.82E+02
7.98E+04,2.53E+01,-3.55E+02
6.34E+04,3.12E+01,-4.47E+02
5.04E+04,3.91E+01,-5.61E+02
4.00E+04,5.14E+01,-7.02E+02
3.18E+04,7.31E+01,-8.80E+02
2.53E+04,1.04E+02,-1.11E+03
2.01E+04,1.41E+02,-1.37E+03
1.60E+04,1.92E+02,-1.71E+03
1.27E+04,2.70E+02,-2.13E+03
1.01E+04,3.81E+02,-2.64E+03
8.01E+03,5.43E+02,-3.28E+03
6.36E+03,7.65E+02,-4.03E+03
5.06E+03,1.09E+03,-4.94E+03
4.02E+03,1.54E+03,-6.01E+03
3.19E+03,2.20E+03,-7.25E+03
2.54E+03,3.03E+03,-8.68E+03
2.02E+03,4.14E+03,-1.03E+04
1.60E+03,5.51E+03,-1.20E+04
1.27E+03,7.18E+03,-1.37E+04
1.01E+03,9.25E+03,-1.57E+04
8.04E+02,1.17E+04,-1.76E+04
6.39E+02,1.44E+04,-1.95E+04
5.08E+02,1.74E+04,-2.14E+04
4.03E+02,2.08E+04,-2.32E+04
3.20E+02,2.45E+04,-2.50E+04
2.55E+02,2.84E+04,-2.67E+04
2.02E+02,3.27E+04,-2.84E+04
1.61E+02,3.73E+04,-3.00E+04
1.28E+02,4.23E+04,-3.15E+04
1.02E+02,4.77E+04,-3.26E+04
8.07E+01,5.31E+04,-3.35E+04
6.44E+01,5.84E+04,-3.32E+04
5.07E+01,6.39E+04,-3.36E+04
3.94E+01,7.01E+04,-3.35E+04
3.01E+01,7.65E+04,-3.33E+04
2.26E+01,8.28E+04,-3.26E+04
1.66E+01,8.96E+04,-3.17E+04
1.20E+01,9.64E+04,-3.03E+04
8.39E+00,1.04E+05,-2.87E+04
5.74E+00,1.12E+05,-2.65E+04
3.82E+00,1.19E+05,-2.32E+04
2.49E+00,1.24E+05,-1.94E+04
1.58E+00,1.30E+05,-1.56E+04
1.00E+00,1.33E+05,-1.18E+04
