Freq,Real,Imag
5.00E+06,5.90E+01,2.17E+02
3.97E+06,3.17E+01,1.40E+02
3.16E+06,2.32E+01,9.73E+01
2.51E+06,1.97E+01,6.98E+01
1.99E+06,1.77E+01,4.88E+01
1.58E+06,1.59E+01,3.20E+01
1.26E+06,1.49E+01,1.73E+01
1.00E+06,1.43E+01,3.08E+00
7.95E+05,1.38E+01,-1.08E+01
6.32E+05,1.36E+01,-2.52E+01
5.02E+05,1.35E+01,-4.09E+01
3.99E+05,1.35E+01,-5.88E+01
3.17E+05,1.34E+01,-8.07E+01
2.52E+05,1.37E+01,-1.06E+02
2.00E+05,1.45E+01,-1.37E+02
1.59E+05,1.56E+01,-1.75E+02
1.26E+05,1.75E+01,-2.23E+02
1.00E+05,2.13E+01,-2.82E+02
7.98E+04,2.51E+01,-3.55E+02
6.34E+04,3.08E+01,-4.46E+02
5.04E+04,3.87E+01,-5.61E+02
4.00E+04,5.06E+01,-7.02E+02
3.18E+04,7.19E+01,-8.80E+02
2.53E+04,1.03E+02,-1.11E+03
2.01E+04,1.38E+02,-1.37E+03
1.60E+04,1.90E+02,-1.72E+03
1.27E+04,2.65E+02,-2.13E+03
1.01E+04,3.73E+02,-2.64E+03
8.01E+03,5.31E+02,-3.28E+03
6.36E+03,7.47E+02,-4.03E+03
5.06E+03,1.06E+03,-4.95E+03
4.02E+03,1.50E+03,-6.03E+03
3.19E+03,2.13E+03,-7.27E+03
2.54E+03,2.92E+03,-8.71E+03
2.02E+03,3.96E+03,-1.04E+04
1.60E+03,5.25E+03,-1.21E+04
1.27E+03,6.90E+03,-1.41E+04
1.01E+03,8.86E+03,-1.61E+04
8.04E+02,1.13E+04,-1.83E+04
6.39E+02,1.41E+04,-2.05E+04
5.08E+02,1.73E+04,-2.28E+04
4.03E+02,2.10E+04,-2.49E+04
3.20E+02,2.51E+04,-2.70E+04
2.55E+02,2.95E+04,-2.89E+04
2.02E+02,3.42E+04,-3.07E+04
1.61E+02,3.92E+04,-3.24E+04
1.28E+02,4.46E+04,-3.39E+04
1.02E+02,5.05E+04,-3.50E+04
8.07E+01,5.67E+04,-3.59E+04
6.44E+01,6.31E+04,-3.64E+04
5.07E+01,6.94E+04,-3.57E+04
3.94E+01,7.57E+04,-3.47E+04
3.01E+01,8.26E+04,-3.31E+04
2.26E+01,8.88E+04,-3.08E+04
1.66E+01,9.48E+04,-2.84E+04
1.20E+01,1.01E+05,-2.59E+04
8.39E+00,1.06E+05,-2.30E+04
5.74E+00,1.12E+05,-2.07E+04
3.82E+00,1.17E+05,-1.78E+04
2.49E+00,1.20E+05,-1.48E+04
1.58E+00,1.25E+05,-1.22E+04
1.00E+00,1.28E+05,-9.44E+03
